"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword"
"تأمين وتركيب وإصلاح وصيانة عدد (5) سيارة لإدارة مرور منطقة الباحة","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lS71JOHWdKcSXS8lQPGiXQ==","2025-10-16","2025-10-18","09:59",-30,-32,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد (6) سيارة لإدارة مرور منطقة نجران","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KKMC7QYEdpBMyZgcBJVGVw==","2025-10-16","2025-10-18","09:59",-30,-32,"مرور"
"صيانة وتأمين قطع غيار لمركبة رسمية متعرضة لحادث مروري لإدارة دوريات الأمن بمنطقة تبوك","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=DFyoCgSgvx5ncY*@@**iVyzaDQ==","2025-10-09","2025-10-11","09:59",-37,-39,"مرور"
"صيانة وتأمين قطع غيار لمركبة رسمية متعرضة لحادث مروري تابعة لإدارة دوريات الأمن بمنطقة تبوك","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=3Epog9gASx3vYC3EHvcRFg==","2025-10-09","2025-10-11","09:59",-37,-39,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد (7) سيارة لإدارة مرور منطقة الرياض","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=r2uLuAemA%20JZ5BP3zBjjGw==","2025-10-11","2025-10-13","09:59",-35,-37,"مرور"
"صيانة أعمال السلامة المرورية","بلدية الذييبية","بلدية الذيبية","6500","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jLaz%206O0gj9EeTaFKrW%20hQ==","2025-10-20","2025-10-22","09:59",-26,-28,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد (2) سيارة لإدارة مرور منطقة القصيم","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=0yXLdV512abZ67pdY6wO3A==","2025-10-20","2025-10-21","08:00",-27,-28,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد (2) سيارة لإدارة مرور منطقة عسير","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kIWlrmvckNTceawPDYrTzA==","2025-10-10","2025-10-12","09:59",-36,-38,"مرور"
"إعلان في صحيفة عن بيع مركبات ودراجات محجوزة بإدارة مرور منطقة جازان","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=*@@**6CHWinrubt3wtuXJm0mDg==","2025-10-10","2025-10-12","09:59",-36,-38,"مرور"
"صيانة وتأمين قطع غيار لمركبات رسمية متعرضة لحوادث مرورية تابعة لإدارة دوريات الأمن بمنطقة القصيم","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=HCuV5wnH5h%20Kz5mlWqXIFg==","2025-11-02","2025-11-02","07:00",-15,-15,"مرور"
