"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"اصلاح معدات متعطلة في ورشة التموين عدد (9)","2025-10-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=PoKsu6vfRiccLgYe2Cv*@@**8w==","2025-10-18","2025-10-21","اصلاح"
"اعمال اصلاح وصيانة في بعض المباني التابعة لمديرية الدفاع المدني بمنطقة الرياض","2025-10-14","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=5q5lm1UI7lNuQCMJAeuq8A==","2025-10-16","2025-10-18","اصلاح"
"تامين قطع غيار الاليات لزوم مستودع الدفاع المدني بمنطقة مكة المكرمة","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=gwZYEzrFRaLS6XU6PWGr5Q==","2025-10-23","2025-10-25","اصلاح"
"تأمين قطع غيار واصلاح اليات بإدارة الدفاع المدني بمنطقة مكة المكرمة","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=cbJEk1Zoqa6LHFKapxrVdQ==","2025-11-13","2025-11-13","اصلاح"
"تأمين قطع غيار واصلاح اليات بإدارة الدفاع المدني بمنطقة مكة المكرمة","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=z48KwmU*@@**ubViOMsSWYURKw==","2025-10-17","2025-10-19","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بإدارة محافظة الطائف","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=B6AclQXUQH51YYkGTYyUbg==","2025-10-17","2025-10-19","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1mlQ7TbP49X4Y1m7rM4Imw==","2025-10-22","2025-10-24","اصلاح"
"تأمين قطع غيار آليات رسمية من نوع مرسيدس لوحة رقم ( ح ه ص 5747) مع الاصلاح والتركيب لزوم القوة الخاص ...","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=x6oRECFiJp3cFwzlo25QVQ==","2025-10-17","2025-10-19","اصلاح"
"تأمين قطع غيار آليات رسمية من نوع شيفرولية ترافيس لوحة رقم ( د ن ص 2302) مع الاصلاح والتركيب لزوم ال ...","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=QAovJfLdWnpP24sOXUtLsA==","2025-10-17","2025-10-19","اصلاح"
"تأمين قطع غيار آليات رسمية من نوع لاندكروزر لوجة رقم ( ح ل ه 6923) مع الاصلاح والتركيب لزوم قوة أمن ...","2025-10-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BJaiBVFHqDRiyytl%20EDYXA==","2025-10-17","2025-10-19","اصلاح"
"تامين قطع غيار تكييف لزوم اعمال الصيانة والاصلاح لمواقع مختلفة بالادارة الهندسية بالغربية","2025-10-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=yzDEA0IM5jlS3cPI3TZ1ZA==","2025-10-19","2025-10-21","اصلاح"
"اصلاح وصيانة مبردات المياة (شلرات) رقم 2/1 وتغيير كل كل مايلزم للتشغيل الكامل مع جميع التوصيلات الكه ...","2025-10-09","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=RmrrQg7dk2U4bApfTBaOjg==","2025-10-12","2025-10-15","اصلاح"
"أعمال اصلاح وصيانة لمركز الدفاع المدني بحي البغدادية بمحافظة جدة","2025-10-09","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=hUPDCYC2*@@**l54SnyISIfMCQ==","2025-10-14","2025-10-20","اصلاح"
"أعمال اصلاح وصيانة بإخلاء و إزالة التشوهات البصرية أمام مقر إدارة التقنية بالمشاعر بالعوالي","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=TUVtMmqx2lNHzjaQI3r4YA==","2025-10-13","2025-10-15","اصلاح"
"أعمال اصلاح لبعض مباني الدفاع المدني بمدينتي الخبر و الدمام","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=G4uHJSyCQINVdVxuIYk2Fw==","2025-10-10","2025-10-12","اصلاح"
"تأمين قطع غيار واصلاح أجهزة تعبئة اسطوانات تنفس الدفاع المدني بمنطقة مكة المكرمة","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MlvAOSOir87bmmCzpFVmrA==","2025-10-17","2025-10-19","اصلاح"
"تأمين قطع غيار لزوم مستودع شعبة الصيانة بإدارة الدفاع المدني بمنطقة مكة المكرمة","2025-10-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kci6Nr3Gr4BQJdFnwc*@@**Hsg==","2025-10-18","2025-10-20","اصلاح"
"اصلاح جهاز الايون كروما توغرافي","2025-10-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jTgPSMwbtDc0V5bM9PpzEQ==","2025-10-14","2025-10-16","اصلاح"
"جدول اعمال واصلاح وتوريد قطع غيار معدات وسيارات البلدية","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vf88*@@**MDibYA%201G*@@**m%20D*@@**qIw==","2025-10-20","2025-10-22","اصلاح"
"اصلاح حادث للمركبة من تويوتا هايلكس موديل 2015 لوحة رقم (أ ي ع 2420 )","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fbXBiznQLTYZTAdUo9pOyQ==","2025-11-06","2025-11-06","اصلاح"
"اصلاح حادث للمركبة من سوناتا موديل 2020 لوحة رقم (د م ي 6907)","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=oNr0puV1BeBlA%20G5DlkJ8g==","2025-11-06","2025-11-06","اصلاح"
"بشأن اصلاح وتأمين وتركيب قطع غيار سيارة نوع تويوتا فورتشنر موديل 2013 لوحة 6799","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=trJfZVhJKa5%204Vkyb43oEw==","2025-11-12","2025-11-13","اصلاح"
"تأمين قطع غيار واصلاح اليات بإدارة الدفاع المدني بإدارة ميسان","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=UadubPWp%20LTk6rKU9F84gA==","2025-10-13","2025-10-15","اصلاح"
"توريد وتركيب واصلاح خطوط هاتفية بمبنى قيادة القوات البرية","2025-10-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VfkgK1AD3B6jNmGdN8HD9Q==","2025-10-10","2025-10-21","اصلاح"
"تأمين قطع غيار واصلاح الاليات التابعة لمديرية المنطقة الشرقية والادارات التابعة لها والفروع DM 25 62 ...","2025-10-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=zKT7gkdZsn6NSpLdt1*@@**VPA==","2025-10-09","2025-10-11","اصلاح"
"تأمين قطع غيار واصلاح الاليات التابعة لمديرية المنطقة الشرقية والادارات التابعة لها و الفروع DM 25 6 ...","2025-10-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7vRa0HfUMJAgseUcg2Zwbg==","2025-10-08","2025-10-10","اصلاح"
"منافسة MA25620077 اصلاح بعض اليات الدفاع المدني بمنطقة المدينة المنورة – شعبة الصيانة المركزية","2025-10-04","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=blcvD%20HkhAonfUT*@@**7TBjKQ==","2025-10-06","2025-10-08","اصلاح"
